Embassy Ballroom Championships,Adult Amateur Novice Events Int'l Ballroom (W,F,Q),Standard,5
Embassy Ballroom Championships,Adult Amateur Novice Events Int'l Latin (CC,S,R),Latin,5
Embassy Ballroom Championships,Adult Amateur PreChampionship Events Int'l Ballroom (W,T,F,Q),Standard,15
Embassy Ballroom Championships,Adult Amateur PreChampionship Events Int'l Latin (CC,S,R,J),Latin,15
Embassy Ballroom Championships,Adult Amateur PreNovice Events Int'l Ballroom (W,Q),Standard,5
Embassy Ballroom Championships,Adult Amateur PreNovice Events Int'l Latin (CC,R),Latin,5
Embassy Ballroom Championships,Amateur Open 35+ Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,Amateur Open 35+ Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,Amateur Open 35+ Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,Amateur Open A Amer. Rhythm Championship (CC,R,SW,B,M),Rhythm,20
Embassy Ballroom Championships,Amateur Open A Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,Amateur Open A Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,Amateur Open A Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,Amateur Open U21 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,Amateur Open U21 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,Masters Amateur Open Int'l Ballroom (W,T,F,Q),Standard,20
Embassy Ballroom Championships,P/J/Y 3-Dance Events Cl. Championship P1 AM/AM Int'l Ballroom (W,T,Q),Standard,20
Embassy Ballroom Championships,P/J/Y 3-Dance Events Cl. Championship P1 AM/AM Int'l Latin (CC,S,R),Latin,20
Embassy Ballroom Championships,P/J/Y 3-Dance Events Cl. Championship P2 AM/AM Int'l Ballroom (W,T,Q),Standard,20
Embassy Ballroom Championships,P/J/Y 3-Dance Events Cl. Championship P2 AM/AM Int'l Latin (CC,S,R),Latin,20
Embassy Ballroom Championships,P/J/Y 5-Dance Events Cl. Championship P1 AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,P/J/Y 5-Dance Events Cl. Championship P1 AM/AM Int'l Latin (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,P/J/Y 5-Dance Events Cl. Championship P2 AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,P/J/Y 5-Dance Events Cl. Championship P2 AM/AM Int'l Latin (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship J1 AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,25
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship J1 AM/AM Int'l Latin (CC,S,R,PD,J),Latin,25
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship J2 AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,25
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship J2 AM/AM Int'l Latin (CC,S,R,PD,J),Latin,25
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship YH AM/AM Int'l Ballroom (W,T,VW,F,Q),Standard,25
Embassy Ballroom Championships,P/J/Y 5-Dance Events Scholarship YH AM/AM Int'l Latin (CC,S,R,PD,J),Latin,25
Embassy Ballroom Championships,ProAm Dancesport Series Events A Amer. Rhythm (CC,R,SW,B,M),Rhythm,15
Embassy Ballroom Championships,ProAm Dancesport Series Events A Amer. Smooth (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,ProAm Dancesport Series Events A Int'l Ballroom (W,T,VW,F,Q),Standard,15
Embassy Ballroom Championships,ProAm Dancesport Series Events A Int'l Latin (CC,S,R,PD,J),Latin,15
Embassy Ballroom Championships,ProAm Dancesport Series Events B Amer. Rhythm (CC,R,SW,B,M),Rhythm,15
Embassy Ballroom Championships,ProAm Dancesport Series Events B Amer. Smooth (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,ProAm Dancesport Series Events B Int'l Ballroom (W,T,VW,F,Q),Standard,15
Embassy Ballroom Championships,ProAm Dancesport Series Events B Int'l Latin (CC,S,R,PD,J),Latin,15
Embassy Ballroom Championships,ProAm Dancesport Series Events C Amer. Rhythm (CC,R,SW,B,M),Rhythm,15
Embassy Ballroom Championships,ProAm Dancesport Series Events C Amer. Smooth (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,ProAm Dancesport Series Events C Int'l Ballroom (W,T,VW,F,Q),Standard,15
Embassy Ballroom Championships,ProAm Dancesport Series Events C Int'l Latin (CC,S,R,PD,J),Latin,15
Embassy Ballroom Championships,ProAm Dancesport Series Events S1 Amer. Rhythm (CC,R,SW,B,M),Rhythm,15
Embassy Ballroom Championships,ProAm Dancesport Series Events S1 Amer. Smooth (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,ProAm Dancesport Series Events S1 Int'l Ballroom (W,T,VW,F,Q),Standard,15
Embassy Ballroom Championships,ProAm Dancesport Series Events S1 Int'l Latin (CC,S,R,PD,J),Latin,15
Embassy Ballroom Championships,ProAm Nightclub 2-Dance Events A Nightclub (H,WCS),Nightclub,15
Embassy Ballroom Championships,ProAm Nightclub 2-Dance Events B Nightclub (H,WCS),Nightclub,15
Embassy Ballroom Championships,ProAm Nightclub 3-Dance Events B Nightclub (SA,ME,BA),Nightclub,15
Embassy Ballroom Championships,ProAm Nightclub 4-Dance Events B Nightclub (H,SA,ME,BA),Nightclub,15
Embassy Ballroom Championships,World PA Open Senior S1 Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World PA Open Senior S1 Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World PA Open Senior S1 Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World PA Open Senior S1 Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World PA Open Senior S2 Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World PA Open Senior S2 Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World PA Open Senior S2 Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World PA Open Senior S2 Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World ProAm Closed Bronze 65+ Amer. Rhythm Championship (CC,R,SW,M),Rhythm,10
Embassy Ballroom Championships,World ProAm Closed Bronze 65+ Amer. Smooth Championship (W,T,F,VW),Smooth,10
Embassy Ballroom Championships,World ProAm Closed Bronze 65+ Int'l Ballroom Championship (W,T,F,Q),Standard,10
Embassy Ballroom Championships,World ProAm Closed Bronze 65+ Int'l Latin Championship (CC,S,R,J),Latin,10
Embassy Ballroom Championships,World ProAm Closed Bronze A Amer. Rhythm Championship (CC,R,SW,M),Rhythm,10
Embassy Ballroom Championships,World ProAm Closed Bronze A Amer. Smooth Championship (W,T,F,VW),Smooth,10
Embassy Ballroom Championships,World ProAm Closed Bronze A Int'l Ballroom Championship (W,T,F,Q),Standard,10
Embassy Ballroom Championships,World ProAm Closed Bronze A Int'l Latin Championship (CC,S,R,J),Latin,10
Embassy Ballroom Championships,World ProAm Closed Bronze B Amer. Rhythm Championship (CC,R,SW,M),Rhythm,10
Embassy Ballroom Championships,World ProAm Closed Bronze B Amer. Smooth Championship (W,T,F,VW),Smooth,10
Embassy Ballroom Championships,World ProAm Closed Bronze B Int'l Ballroom Championship (W,T,F,Q),Standard,10
Embassy Ballroom Championships,World ProAm Closed Bronze B Int'l Latin Championship (CC,S,R,J),Latin,10
Embassy Ballroom Championships,World ProAm Closed Bronze C Amer. Rhythm Championship (CC,R,SW,M),Rhythm,10
Embassy Ballroom Championships,World ProAm Closed Bronze C Amer. Smooth Championship (W,T,F,VW),Smooth,10
Embassy Ballroom Championships,World ProAm Closed Bronze C Int'l Ballroom Championship (W,T,F,Q),Standard,10
Embassy Ballroom Championships,World ProAm Closed Bronze C Int'l Latin Championship (CC,S,R,J),Latin,10
Embassy Ballroom Championships,World ProAm Closed Gold 65+ Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Closed Gold 65+ Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Closed Gold 65+ Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Closed Gold 65+ Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World ProAm Closed Gold A Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Closed Gold A Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Closed Gold A Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Closed Gold A Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World ProAm Closed Gold B Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Closed Gold B Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Closed Gold B Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Closed Gold B Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World ProAm Closed Gold C Amer. Rhythm Championship (CC,R,SW,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Closed Gold C Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Closed Gold C Int'l Ballroom Championship (W,T,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Closed Gold C Int'l Latin Championship (CC,S,R,J),Latin,20
Embassy Ballroom Championships,World ProAm Closed Silver 65+ Amer. Rhythm Championship (CC,R,SW,M),Rhythm,15
Embassy Ballroom Championships,World ProAm Closed Silver 65+ Amer. Smooth Championship (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,World ProAm Closed Silver 65+ Int'l Ballroom Championship (W,T,F,Q),Standard,15
Embassy Ballroom Championships,World ProAm Closed Silver 65+ Int'l Latin Championship (CC,S,R,J),Latin,15
Embassy Ballroom Championships,World ProAm Closed Silver A Amer. Rhythm Championship (CC,R,SW,M),Rhythm,15
Embassy Ballroom Championships,World ProAm Closed Silver A Amer. Smooth Championship (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,World ProAm Closed Silver A Int'l Ballroom Championship (W,T,F,Q),Standard,15
Embassy Ballroom Championships,World ProAm Closed Silver A Int'l Latin Championship (CC,S,R,J),Latin,15
Embassy Ballroom Championships,World ProAm Closed Silver B Amer. Rhythm Championship (CC,R,SW,M),Rhythm,15
Embassy Ballroom Championships,World ProAm Closed Silver B Amer. Smooth Championship (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,World ProAm Closed Silver B Int'l Ballroom Championship (W,T,F,Q),Standard,15
Embassy Ballroom Championships,World ProAm Closed Silver B Int'l Latin Championship (CC,S,R,J),Latin,15
Embassy Ballroom Championships,World ProAm Closed Silver C Amer. Rhythm Championship (CC,R,SW,M),Rhythm,15
Embassy Ballroom Championships,World ProAm Closed Silver C Amer. Smooth Championship (W,T,F,VW),Smooth,15
Embassy Ballroom Championships,World ProAm Closed Silver C Int'l Ballroom Championship (W,T,F,Q),Standard,15
Embassy Ballroom Championships,World ProAm Closed Silver C Int'l Latin Championship (CC,S,R,J),Latin,15
Embassy Ballroom Championships,World ProAm Open A Amer. Rhythm Championship (CC,R,SW,B,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Open A Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open A Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open A Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,World ProAm Open B Amer. Rhythm Championship (CC,R,SW,B,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Open B Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open B Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open B Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,World ProAm Open C Amer. Rhythm Championship (CC,R,SW,B,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Open C Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open C Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open C Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,World ProAm Open JR Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open JR Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open JR Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,World ProAm Open PT Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open PT Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open PT Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Embassy Ballroom Championships,World ProAm Open YH Amer. Rhythm Championship (CC,R,SW,B,M),Rhythm,20
Embassy Ballroom Championships,World ProAm Open YH Amer. Smooth Championship (W,T,F,VW),Smooth,20
Embassy Ballroom Championships,World ProAm Open YH Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Embassy Ballroom Championships,World ProAm Open YH Int'l Latin Championship (CC,S,R,PD,J),Latin,20
