Empire Dance Championship,Championship Amateur 4-Dance Events Open S1 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Championship Amateur 4-Dance Events Open S2 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Championship Amateur 4-Dance Events Open S3 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze AD Int'l Latin (CC,R),Latin,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Amer. Smooth (W,T),Smooth,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze J2 Int'l Latin (CC,R),Latin,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze S1 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze S2 Int'l Ballroom (W,Q),Standard,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze YH Amer. Rhythm (CC,R),Rhythm,10
Empire Dance Championship,Closed Amateur 2-Dance Events Closed Bronze YH Amer. Smooth (W,T),Smooth,10
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver AD Amer. Smooth (W,T,F),Smooth,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver AD Int'l Ballroom (W,T,Q),Standard,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver J1 Int'l Latin (CC,S,R),Latin,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver S3 Amer. Smooth (W,T,F),Smooth,15
Empire Dance Championship,Closed Amateur 3-Dance Events Closed Silver S3 Int'l Ballroom (W,T,Q),Standard,15
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold AD Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold AD Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold J1 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold J2 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S1 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S2 Amer. Smooth (W,T,F,VW),Smooth,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S2 Int'l Latin (CC,S,R,J),Latin,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S3 Amer. Smooth (W,T,F,VW),Smooth,20
Empire Dance Championship,Closed Amateur 4-Dance Events Closed Gold S3 Int'l Ballroom (W,T,F,Q),Standard,20
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,15
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P1 Int'l Latin Championship (CC,S,R,PD,J),Latin,15
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P2 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,15
Empire Dance Championship,Closed Amateur 4/5 Dance Championships  P2 Int'l Latin Championship (CC,S,R,PD,J),Latin,15
Empire Dance Championship,Novice Amateur 3-Dance Events AD Int'l Ballroom (W,T,Q),Standard,5
Empire Dance Championship,Novice Amateur 3-Dance Events AD Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events J1 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events S1 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events S2 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events S3 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events YH Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events mJ1 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Novice Amateur 3-Dance Events mJ2 Int'l Latin (CC,S,R),Latin,5
Empire Dance Championship,Open Amateur 4/5 Dance Championships  AD Amer. Smooth Championship (W,T,F,VW),Smooth,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  J1 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  J2 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  J2 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  U21 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  U21 Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  YH Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Empire Dance Championship,Open Amateur 4/5 Dance Championships  YH Int'l Latin Championship (CC,S,R,PD,J),Latin,20
Empire Dance Championship,Open Amateur 4/5 Dance J1 Int'l Ballroom Championship (W,T,VW,F,Q),Standard,20
Empire Dance Championship,Open Amateur 5-Dance Scholarships AD Int'l Ballroom (W,T,VW,F,Q),Standard,25
Empire Dance Championship,Open Amateur 5-Dance Scholarships AD Int'l Latin (CC,S,R,PD,J),Latin,25
Empire Dance Championship,PreChamp Amateur 4-Dance Events AD Amer. Smooth (W,T,F,VW),Smooth,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events AD Amer. Smooth (W,T,F,VW) /J,Smooth,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events AD Int'l Ballroom (W,T,F,Q),Standard,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events AD Int'l Latin (CC,S,R,J),Latin,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events J1 Int'l Latin (CC,S,R,J),Latin,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events S2 Int'l Ballroom (W,T,F,Q),Standard,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events S3 Int'l Ballroom (W,T,F,Q),Standard,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events S3 Int'l Latin (CC,S,R,J),Latin,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events mJ1 Int'l Latin (CC,S,R,J),Latin,15
Empire Dance Championship,PreChamp Amateur 4-Dance Events mJ2 Int'l Latin (CC,S,R,J),Latin,15
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze A2 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze A3 Int'l Ballroom Championship (W,T),Standard,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze B1 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze B1 Int'l Ballroom Championship (W,T),Standard,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze B2 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze B3 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze B3 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Bronze C2 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Championships  Closed Gold B1 Int'l Latin Championship (CC,R),Latin,20
Empire Dance Championship,ProAm 2-Dance Championships  Closed Gold B2 Amer. Smooth Championship (W,T),Smooth,20
Empire Dance Championship,ProAm 2-Dance Championships  Closed Silver A2 Int'l Latin Championship (CC,R),Latin,15
Empire Dance Championship,ProAm 2-Dance Championships  Closed Silver A3 Int'l Latin Championship (CC,R),Latin,15
Empire Dance Championship,ProAm 2-Dance Championships  Closed Silver J1 Int'l Ballroom Championship (W,T),Standard,15
Empire Dance Championship,ProAm 2-Dance Championships  Open Bronze B2 Amer. Rhythm Championship (CC,R),Rhythm,15
Empire Dance Championship,ProAm 2-Dance Championships  Open Gold C1 Int'l Ballroom Championship (W,T),Standard,25
Empire Dance Championship,ProAm 2-Dance Championships  Open Gold mA3 AM/AM Int'l Latin Championship (CC,R),Latin,25
Empire Dance Championship,ProAm 2-Dance Championships  Open Silver B1 Int'l Latin Championship (CC,R),Latin,20
Empire Dance Championship,ProAm 2-Dance Championships  Open Silver B3 Amer. Smooth Championship (W,T),Smooth,20
Empire Dance Championship,ProAm 2-Dance Championships  Open Silver C1 Amer. Smooth Championship (W,T),Smooth,20
Empire Dance Championship,ProAm 2-Dance Closed Bronze A2 Amer. Rhythm Championship (CC,R),Rhythm,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze A2 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze A3 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze A3 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze B1 Amer. Rhythm Championship (CC,R),Rhythm,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze B1 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze B2 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze C1 Amer. Rhythm Championship (CC,R),Rhythm,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze C1 Amer. Smooth Championship (W,T),Smooth,10
Empire Dance Championship,ProAm 2-Dance Closed Bronze C1 Int'l Latin Championship (CC,R),Latin,10
Empire Dance Championship,ProAm 2-Dance Closed Gold A1 Int'l Latin Championship (CC,R),Latin,20
Empire Dance Championship,ProAm 2-Dance Closed Silver B1 Amer. Rhythm Championship (CC,R),Rhythm,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B1 Amer. Smooth Championship (W,T),Smooth,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B1 Int'l Ballroom Championship (W,T),Standard,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B1 Int'l Latin Championship (CC,R),Latin,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B2 Amer. Rhythm Championship (CC,R),Rhythm,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B2 Amer. Smooth Championship (W,T),Smooth,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B3 Amer. Smooth Championship (W,T),Smooth,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B3 Int'l Ballroom Championship (W,T),Standard,15
Empire Dance Championship,ProAm 2-Dance Closed Silver B3 Int'l Latin Championship (CC,R),Latin,15
Empire Dance Championship,ProAm 2-Dance Open Bronze A2 Int'l Latin Championship (CC,R),Latin,15
Empire Dance Championship,ProAm 2-Dance Open Bronze B1 Amer. Rhythm Championship (CC,R),Rhythm,15
Empire Dance Championship,ProAm 2-Dance Open Bronze B1 Amer. Smooth Championship (W,T),Smooth,15
Empire Dance Championship,ProAm 2-Dance Open Bronze B3 Amer. Smooth Championship (W,T),Smooth,15
Empire Dance Championship,ProAm 2-Dance Open Bronze C1 Amer. Rhythm Championship (CC,R),Rhythm,15
Empire Dance Championship,ProAm 2-Dance Open Bronze C1 Int'l Ballroom Championship (W,T),Standard,15
Empire Dance Championship,ProAm 2-Dance Open Gold A1 Int'l Latin Championship (CC,R),Latin,25
Empire Dance Championship,ProAm 2-Dance Open Gold B1 Int'l Latin Championship (CC,R),Latin,25
Empire Dance Championship,ProAm 2-Dance Open Gold B2 Int'l Latin Championship (CC,R),Latin,25
Empire Dance Championship,ProAm 2-Dance Open Silver B1 Amer. Rhythm Championship (CC,R),Rhythm,20
Empire Dance Championship,ProAm 2-Dance Open Silver B1 Amer. Smooth Championship (W,T),Smooth,20
Empire Dance Championship,ProAm 2-Dance Open Silver B1 Int'l Ballroom Championship (W,T),Standard,20
Empire Dance Championship,ProAm 2-Dance Open Silver B2 Int'l Latin Championship (CC,R),Latin,20
Empire Dance Championship,ProAm 2-Dance Open Silver mA3 AM/AM Int'l Latin Championship (CC,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze A1 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze A2 Amer. Smooth Championship (W,T,F),Smooth,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze A3 Amer. Smooth Championship (W,T,F),Smooth,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze A3 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze A3 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B1 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B1 Amer. Smooth Championship (W,T,F),Smooth,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B1 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B1 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B2 Amer. Smooth Championship (W,T,F),Smooth,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B3 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze B3 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze C1 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze mC3 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Bronze mLA2 AM/AM Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Championships  Closed Gold B2 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Championships  Closed Gold C2 Int'l Ballroom Championship (W,T,F),Standard,20
Empire Dance Championship,ProAm 3-Dance Championships  Closed Gold C3 Int'l Ballroom Championship (W,T,F),Standard,20
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A2 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A2 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A2 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A3 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A3 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver A3 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver B1 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver B2 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver B3 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver B3 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver C1 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Championships  Closed Silver J1 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Championships  Open Bronze B2 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Championships  Open Bronze C1 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold A3 Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold B1 Amer. Smooth Championship (W,T,F),Smooth,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold B1 Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold C1 Amer. Smooth Championship (W,T,F),Smooth,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold C1 Int'l Ballroom Championship (W,T,F),Standard,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Gold mA3 AM/AM Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver B1 Amer. Rhythm Championship (CC,R,M),Rhythm,20
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver B1 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver B3 Amer. Rhythm Championship (CC,R,M),Rhythm,20
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver B3 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver C1 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Championships  Open Silver C2 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Closed Bronze A2 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze A2 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze A3 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze B2 Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze B2 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze B2 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze B3 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze C1 Amer. Smooth Championship (W,T,F),Smooth,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze C1 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze C1 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze C2 Int'l Ballroom Championship (W,T,F),Standard,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze C2 Int'l Latin Championship (CC,S,R),Latin,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze P1C Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Closed Bronze YH Amer. Rhythm Championship (CC,R,M),Rhythm,10
Empire Dance Championship,ProAm 3-Dance Closed Gold A1 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Closed Gold A2 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Closed Gold B1 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Closed Gold C1 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Closed Silver A3 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B1 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B1 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B1 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B2 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B2 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Closed Silver B3 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Closed Silver C1 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Closed Silver C1 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Closed Silver C2 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Open Bronze A2 Int'l Latin Championship (CC,S,R),Latin,15
Empire Dance Championship,ProAm 3-Dance Open Bronze B1 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Open Bronze B1 Amer. Smooth Championship (W,T,F),Smooth,15
Empire Dance Championship,ProAm 3-Dance Open Bronze B1 Int'l Ballroom Championship (W,T,F),Standard,15
Empire Dance Championship,ProAm 3-Dance Open Bronze C1 Amer. Rhythm Championship (CC,R,M),Rhythm,15
Empire Dance Championship,ProAm 3-Dance Open Gold A1 Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Open Gold B1 Int'l Ballroom Championship (W,T,F),Standard,25
Empire Dance Championship,ProAm 3-Dance Open Gold B2 Amer. Smooth Championship (W,T,F),Smooth,25
Empire Dance Championship,ProAm 3-Dance Open Gold B2 Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Open Gold C1 Amer. Rhythm Championship (CC,R,M),Rhythm,25
Empire Dance Championship,ProAm 3-Dance Open Gold C1 Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Open Gold mYH AM/AM Int'l Latin Championship (CC,S,R),Latin,25
Empire Dance Championship,ProAm 3-Dance Open Silver A1 Amer. Rhythm Championship (CC,R,M),Rhythm,20
Empire Dance Championship,ProAm 3-Dance Open Silver A3 AM/AM Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Open Silver A3 Amer. Rhythm Championship (CC,R,M),Rhythm,20
Empire Dance Championship,ProAm 3-Dance Open Silver B1 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Open Silver B1 Int'l Ballroom Championship (W,T,F),Standard,20
Empire Dance Championship,ProAm 3-Dance Open Silver B2 Amer. Smooth Championship (W,T,F),Smooth,20
Empire Dance Championship,ProAm 3-Dance Open Silver B2 Int'l Latin Championship (CC,S,R),Latin,20
Empire Dance Championship,ProAm 3-Dance Open Silver C1 Int'l Latin Championship (CC,S,R),Latin,20
